Date	Time (EST)	Wind (MPH)	Visibility (Miles)	Weather	Sky Conditions	Air Temperature (F)	Dewpoint Temperature (F)	6 hour maximum Temperature (F)	6 hour Minimum Temperature (F)	Relative Humdity (%)	Wind Chill (F)	Heat Index (F)	Pressure Altimeter (in Hg)	Pressure Sea Level (mb)	Precipitation 1 hr (inches)	Precipitation 3 hr (inches)	Precipitation 6 Hr (inches)
18	18:53	W 6	10.00	Overcast	OVC055	33	19 	37	33	56%	27	NA	30.37	1028.7			
18	17:53	W 5	10.00	Overcast	OVC055	34	20 			56%	29	NA	30.34	1027.6			
18	16:53	W 6	10.00	Mostly Cloudy	BKN055	34	20 			56%	29	NA	30.26	1024.8			
18	15:53	NW 15	10.00	Mostly Cloudy	BKN044	35	19 			52%	25	NA	30.22	1023.6			
18	14:53	NW 14	10.00	Mostly Cloudy	BKN038	34	21 			59%	25	NA	30.18	1022.1			
18	13:53	NW 13 G 22	10.00	Mostly Cloudy	BKN043	37	21 			52%	29	NA	30.13	1020.6			
18	12:53	NW 23 G 26	10.00	Mostly Cloudy and Breezy	BKN035	36	23 	36	26	59%	24	NA	30.12	1020.1			0.04
18	11:53	NW 15	10.00	Mostly Cloudy	FEW022 BKN029	33	25 			72%	23	NA	30.11	1019.9			
18	10:53	N 9	10.00	Mostly Cloudy	FEW008 FEW040 BKN200	31	26 			82%	23	NA	30.09	1019.1			
18	09:53	N 8	7.00	Partly Cloudy	FEW008 SCT041 SCT110	29	25 			85%	21	NA	30.05	1018.0		0.04	
18	08:53	NW 7	2.00	Light Snow Freezing Fog	FEW008 BKN035 OVC048	27	25 			92%	19	NA	30.03	1017.2	0.01		
18	07:53	N 7	0.50	Snow Freezing Fog	VV014	26	25 			96%	18	NA	30.01	1016.6	0.03		
18	06:53	N 7	0.50	Snow Freezing Fog	VV011	26	25 	31	26	96%	18	NA	29.98	1015.6	0.03		0.13
18	05:53	N 12	0.50	Snow Freezing Fog	VV006	28	27 			96%	18	NA	29.95	1014.6	0.05		
18	04:53	Calm	1.00	Light Snow Fog/Mist	VV019	31	30 			96%	NA	NA	29.95	1014.6	0.03		
18	03:53	SE 6	3.00	Light Snow Fog/Mist	BKN008 OVC022	31	30 			96%	25	NA	29.96	1014.8		0.02	
18	02:53	SE 6	3.00	Light Snow Fog/Mist	BKN008 OVC012	31	29 			92%	25	NA	29.99	1015.9	0.01		
18	01:53	S 7	1.25	Light Snow Fog/Mist	FEW006 OVC017	30	29 			96%	23	NA	30.04	1017.6	0.01		
18	00:53	S 10	1.25	Light Snow Fog/Mist	OVC018	29	27 	29	24	92%	20	NA	30.09	1019.1			0.01
17	23:53	E 6	0.75	Light Snow Fog/Mist	VV011	26	24 			92%	19	NA	30.12	1020.3	0.01		
17	22:53	Calm	10.00	Overcast	BKN024 BKN050 OVC110	26	19 			75%	NA	NA	30.18	1022.3			
17	21:53	SE 6	10.00	Overcast	SCT030 BKN040 OVC110	25	16 			69%	18	NA	30.21	1023.4			
17	20:53	SE 7	10.00	Overcast	FEW030 SCT140 OVC200	24	15 			68%	16	NA	30.24	1024.6			
